new_time,time,sss,sst,wind_spd,wind_dir,precip,cum_precip3,cum_precip6,year,month,day,hour,scaled_sss,scaled_dir,scaled_spd,scaled_sst,pct_change,pct_c_scaled,set,sst_pct_change,dir_pct_change,spd_pct_change
2017-01-26 17:30:00.000028800,736721.7291666667,34.1819206083626,26.723931309564275,10.009994245057614,-164.07889022261466,1.04084162874718,3.1731534011807683,3.1731534011807647,2017,1,26,17,1.1229529805417613,-1.112011789147355,1.8911846065433102,-1.8409358554172035,0.00011985928153057657,0.07543585651967172,Spurs2,-0.07359746751937543,0.00960102625690874,0.07191107101272999
2017-01-26 18:29:59.999971200,736721.7708333334,34.141013697658586,26.70982239067059,8.104265416804669,-157.6231334754602,12.632672668916179,15.805826070096947,15.805826070096943,2017,1,26,18,1.0622165635552023,-1.0517377048708936,1.0386866441855074,-1.8637245845575465,-0.00119674114198276,-0.7702017409708257,Spurs2,-0.2790896018158682,0.01993346037662585,-0.2232048241167241
2017-01-26 19:30:00.000000000,736721.8125,34.09778191386214,26.688071631774342,9.38525719812396,-178.11277988881187,10.968262481073355,24.64177677873671,26.774088551170298,2017,1,26,19,0.9980282979897039,-1.2430390074265716,1.6117182671435883,-1.8988564154808398,-0.0012662712413664678,-0.8148601393322771,Spurs2,-0.431842510079676,0.07225705689505049,0.08903732954113124
2017-01-26 20:30:00.000028800,736721.8541666667,34.06107606529499,26.66240618341341,5.857692668144942,125.27091255420146,11.242942613708266,34.8438777636978,38.01703116487856,2017,1,26,20,0.9435293958225174,1.5894986736863896,0.0337174890110424,-1.9403112537551221,-0.0010764878683275914,-0.6929644200585602,Spurs2,-0.5104348337348737,-0.49422125417403123,-0.3894127855349404
2017-01-26 21:29:59.999971200,736721.8958333334,34.08171706880445,26.661896678525604,5.527518400754569,115.66409831539397,0.5551542428668768,22.766359337648495,38.57218540774544,2017,1,26,21,0.9741760658984498,1.499804784381558,-0.1139808015329017,-1.941134206170638,0.000605999747920194,0.3876783932064007,Spurs2,-0.0076821739393235205,0.0083948413986044,-0.10311276618122583
2017-01-26 22:30:00.000000000,736721.9375,34.1082793542067,26.67671395376251,5.206073104154743,163.45482722140375,1.8103048493514322,13.608401705926573,38.25017848466328,2017,1,26,22,1.0136143420855737,1.94600226897297,-0.2577743236218059,-1.9172013396968774,0.0007793705155354491,0.49903248119159466,Spurs2,0.29893680905015396,0.15976157478236988,-0.10471473040028238
2017-01-26 23:30:00.000028800,736721.9791666667,34.09618215315482,26.66699741514844,6.879347835777461,164.86383988588796,3.356686319679362,5.722145411897671,40.56602317559546,2017,1,26,23,0.9956530579208159,1.9591574963788285,0.4907389370401846,-1.9328954951687587,-0.0003546705163943731,-0.22934927880946093,Spurs2,-0.19176527997454115,0.034754424538474105,0.23540982667099997
2017-01-27 00:29:59.999971200,736722.0208333334,34.09767517380095,26.657684280395817,10.197368017023258,154.28337664365856,3.7092915416301793,8.876282710660973,31.64264204830946,2017,1,27,0,0.9978698159935294,1.8603731465150837,1.9750033306093375,-1.9479380726280442,4.378849923503125e-05,0.02657645131914166,Spurs2,-0.18376733410130874,0.012260732572907516,0.37959901400789886
2017-01-27 01:30:00.000000000,736722.0625,34.139348266479466,26.66604395415759,8.570336067474013,165.56780576759596,0.6152232665344385,7.6812011278439805,21.289602833770545,2017,1,27,1,1.0597438194438382,1.9657300641727629,1.2471760547039146,-1.9344355255871122,0.0012221681526995987,0.7834364076818761,Spurs2,0.16977599375246935,0.054690767239763134,-0.19557947034322148
2017-01-27 02:30:00.000028800,736722.1041666667,34.1493962800607,26.666313993646515,7.103896966824154,170.06650409965397,1.7543214955713424,6.078836303735962,11.800981715633622,2017,1,27,2,1.0746625784567616,2.007732099413691,0.5911874761127716,-1.9339993577406125,0.0002943235325643112,0.18749227656733844,Spurs2,0.007911929391165523,0.040486564608535204,-0.20593142847289214
2017-01-27 03:29:59.999971200,736722.1458333334,34.152564135122745,26.658361851880596,8.70522146161864,156.79994505464305,1.2136892888418804,3.583234050947663,12.459516761608626,2017,1,27,3,1.0793660420693898,1.8838690529489837,1.3075149245133926,-1.9468436590052711,9.276459929385972e-05,0.05803324781453059,Spurs2,-0.15654933730841242,0.007987047536075799,0.14939044938066787
2017-01-27 04:30:00.000000000,736722.1875,34.151496496965,26.649406299673597,7.649869252467374,147.64707732791368,2.2037406283696566,5.171751412782881,12.85295254062685,2017,1,27,4,1.0777808694121682,1.7984134290245912,0.835419632395659,-1.9613086690521297,-3.126084921523109e-05,-0.02162689844688108,Spurs2,-0.17667312660219883,0.014054142012368962,-0.16123919633314993
2017-01-27 05:30:00.000028800,736722.2291666667,34.12797332058003,26.632050526033847,9.585112127397128,169.0692063638086,4.793267967588016,8.210697884799554,14.289534188535505,2017,1,27,5,1.0428549015212316,1.9984208427890415,1.7011202415728304,-1.9893417187476912,-0.0006887890370209648,-0.44394983491879764,Spurs2,-0.34486233944333283,0.07692243361401624,0.17408897550433475
2017-01-27 06:29:59.999971200,736722.2708333334,34.14946923162227,26.635752692796864,9.353169959555014,163.6805033884735,0.32543608434309235,7.322444680300766,10.905678731248418,2017,1,27,6,1.0747708930761521,1.948109291409828,1.5973645432075387,-1.9833619781147986,0.0006298619270566075,0.40300480164090335,Spurs2,0.07665703200192135,0.022242453102321497,-0.07428731052955384
